ts,machine_id,i_rms_a,v_nominal,pf_assumed,kw_est,temp_c,state_label,notes,drift_type
2026-09-06T10:02:26Z,laptop_charger_01,0.3215,223.29,0.91,0.054,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:28Z,laptop_charger_01,0.24,223.88,0.91,0.057,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:30Z,laptop_charger_01,0.463,224.01,0.93,0.084,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:32Z,laptop_charger_01,0.3304,223.74,0.93,0.083,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:34Z,laptop_charger_01,0.39,223.97,0.93,0.086,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:36Z,laptop_charger_01,0.3731,223.96,0.93,0.083,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:38Z,laptop_charger_01,0.4434,223.48,0.93,0.086,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:40Z,laptop_charger_01,0.4073,223.7,0.93,0.086,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:42Z,laptop_charger_01,0.4002,223.51,0.93,0.084,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:44Z,laptop_charger_01,0.4501,223.55,0.93,0.082,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:46Z,laptop_charger_01,0.4034,223.63,0.92,0.072,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:48Z,laptop_charger_01,0.3803,223.56,0.92,0.071,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:50Z,laptop_charger_01,0.4187,223.82,0.92,0.072,32.5,ACTIVE,normal_run,synthetic_high_variance
2026-09-06T10:02:52Z,laptop_charger_01,0.3177,223.86,0.92,0.074,32.5,ACTIVE,normal_run,synthetic_high_variance
