ts,machine_id,i_rms_a,v_nominal,pf_assumed,kw_est,temp_c,state_label,notes,drift_type
2026-09-06T10:02:26Z,laptop_charger_01,0.3,223.29,0.91,0.054,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:28Z,laptop_charger_01,0.28,223.88,0.91,0.057,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:30Z,laptop_charger_01,0.37,224.01,0.93,0.084,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:32Z,laptop_charger_01,0.4,223.74,0.93,0.083,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:34Z,laptop_charger_01,0.41,223.97,0.93,0.086,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:36Z,laptop_charger_01,0.41,223.96,0.93,0.083,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:38Z,laptop_charger_01,0.41,223.48,0.93,0.086,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:40Z,laptop_charger_01,0.39,223.7,0.93,0.086,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:42Z,laptop_charger_01,0.41,223.51,0.93,0.084,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:44Z,laptop_charger_01,0.41,223.55,0.93,0.082,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:46Z,laptop_charger_01,0.37,223.63,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:48Z,laptop_charger_01,0.35,223.56,0.92,0.071,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:50Z,laptop_charger_01,0.36,223.82,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:52Z,laptop_charger_01,0.36,223.86,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:54Z,laptop_charger_01,0.35,223.62,0.92,0.07,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:55Z,laptop_charger_01,0.35,223.43,0.92,0.07,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:57Z,laptop_charger_01,0.36,223.81,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:02:59Z,laptop_charger_01,0.36,223.83,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:01Z,laptop_charger_01,0.35,223.79,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:03Z,laptop_charger_01,0.36,223.37,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:05Z,laptop_charger_01,0.36,223.63,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:07Z,laptop_charger_01,0.36,223.53,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:09Z,laptop_charger_01,0.36,223.52,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:11Z,laptop_charger_01,0.36,223.47,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:13Z,laptop_charger_01,0.36,223.69,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:15Z,laptop_charger_01,0.36,223.51,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:17Z,laptop_charger_01,0.36,223.69,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:19Z,laptop_charger_01,0.36,223.47,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:21Z,laptop_charger_01,0.36,223.47,0.92,0.074,32.5,ACTIVE,normal_run,none
