ts,machine_id,i_rms_a,v_nominal,pf_assumed,kw_est,temp_c,state_label,notes,i_mean_3samples,i_std_3samples
2020-02-01 00:00:00,compressor_01,0.04,400.0,0.85,0.0236,53.6,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:00:10,compressor_01,0.04,400.0,0.85,0.0236,53.68,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:00:19,compressor_01,0.0425,400.0,0.85,0.025,53.6,OFF,MetroPT-3 industrial air compressor telemetry,0.0408,0.0014
2020-02-01 00:00:29,compressor_01,0.04,400.0,0.85,0.0236,53.42,OFF,MetroPT-3 industrial air compressor telemetry,0.0408,0.0014
2020-02-01 00:00:39,compressor_01,0.04,400.0,0.85,0.0236,53.48,OFF,MetroPT-3 industrial air compressor telemetry,0.0408,0.0014
2020-02-01 00:00:49,compressor_01,0.04,400.0,0.85,0.0236,53.5,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:00:59,compressor_01,0.04,400.0,0.85,0.0236,53.38,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:01:09,compressor_01,0.04,400.0,0.85,0.0236,53.55,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:01:19,compressor_01,0.04,400.0,0.85,0.0236,53.42,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:01:29,compressor_01,0.04,400.0,0.85,0.0236,53.38,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:01:39,compressor_01,0.04,400.0,0.85,0.0236,53.4,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:01:49,compressor_01,0.04,400.0,0.85,0.0236,53.35,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:01:59,compressor_01,0.04,400.0,0.85,0.0236,53.42,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:02:09,compressor_01,0.04,400.0,0.85,0.0236,53.32,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:02:18,compressor_01,0.04,400.0,0.85,0.0236,53.42,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:02:28,compressor_01,0.04,400.0,0.85,0.0236,53.32,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:02:38,compressor_01,0.04,400.0,0.85,0.0236,53.32,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:02:48,compressor_01,0.04,400.0,0.85,0.0236,53.28,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:02:58,compressor_01,0.04,400.0,0.85,0.0236,53.28,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:03:08,compressor_01,0.04,400.0,0.85,0.0236,53.32,OFF,MetroPT-3 industrial air compressor telemetry,0.04,0.0
2020-02-01 00:03:18,compressor_01,0.0375,400.0,0.85,0.0221,53.15,OFF,MetroPT-3 industrial air compressor telemetry,0.0392,0.0014
