ts,machine_id,i_rms_a,v_nominal,pf_assumed,kw_est,temp_c,state_label,notes,i_mean_3samples,i_std_3samples
2024-01-01 00:02:09,laptop_charger_01,0.0,0.0,0.0,0.0,,OFF,ESP32 NILM trace S4P10 laptop charger,0.0,0.0
2024-01-01 00:02:19,laptop_charger_01,0.03,0.0,0.0,0.0,,IDLE,ESP32 NILM trace S4P10 laptop charger,0.015,0.0212
2024-01-01 00:02:21,laptop_charger_01,0.0,240.33,0.0,0.0,,OFF,ESP32 NILM trace S4P10 laptop charger,0.01,0.0173
2024-01-01 00:02:23,laptop_charger_01,0.0,240.11,0.0,0.0,,OFF,ESP32 NILM trace S4P10 laptop charger,0.01,0.0173
2024-01-01 00:02:25,laptop_charger_01,0.06,222.49,0.15,0.005,,IDLE,ESP32 NILM trace S4P10 laptop charger,0.02,0.0346
2024-01-01 00:02:26,laptop_charger_01,0.3,223.29,0.91,0.054,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.12,0.1587
2024-01-01 00:02:28,laptop_charger_01,0.28,223.88,0.91,0.057,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.2133,0.1332
2024-01-01 00:02:30,laptop_charger_01,0.37,224.01,0.93,0.084,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3167,0.0473
2024-01-01 00:02:32,laptop_charger_01,0.4,223.74,0.93,0.083,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.35,0.0624
2024-01-01 00:02:34,laptop_charger_01,0.41,223.97,0.93,0.086,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3933,0.0208
2024-01-01 00:02:36,laptop_charger_01,0.41,223.96,0.93,0.083,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.4067,0.0058
2024-01-01 00:02:38,laptop_charger_01,0.41,223.48,0.93,0.086,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.41,0.0
2024-01-01 00:02:40,laptop_charger_01,0.39,223.7,0.93,0.086,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.4033,0.0115
2024-01-01 00:02:42,laptop_charger_01,0.41,223.51,0.93,0.084,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.4033,0.0115
2024-01-01 00:02:44,laptop_charger_01,0.41,223.55,0.93,0.082,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.4033,0.0115
2024-01-01 00:02:46,laptop_charger_01,0.37,223.63,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3967,0.0231
2024-01-01 00:02:48,laptop_charger_01,0.35,223.56,0.92,0.071,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3767,0.0306
2024-01-01 00:02:50,laptop_charger_01,0.36,223.82,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.01
2024-01-01 00:02:52,laptop_charger_01,0.36,223.86,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:02:54,laptop_charger_01,0.35,223.62,0.92,0.07,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:02:55,laptop_charger_01,0.35,223.43,0.92,0.07,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3533,0.0058
2024-01-01 00:02:57,laptop_charger_01,0.36,223.81,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3533,0.0058
2024-01-01 00:02:59,laptop_charger_01,0.36,223.83,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:03:01,laptop_charger_01,0.35,223.79,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:03:03,laptop_charger_01,0.36,223.37,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:03:05,laptop_charger_01,0.36,223.63,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:03:07,laptop_charger_01,0.36,223.53,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:09,laptop_charger_01,0.36,223.52,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:11,laptop_charger_01,0.36,223.47,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:13,laptop_charger_01,0.36,223.69,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:15,laptop_charger_01,0.36,223.51,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:17,laptop_charger_01,0.36,223.69,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:19,laptop_charger_01,0.36,223.47,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:21,laptop_charger_01,0.36,223.47,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:23,laptop_charger_01,0.36,223.62,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:24,laptop_charger_01,0.36,223.56,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:26,laptop_charger_01,0.36,223.5,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:03:28,laptop_charger_01,0.38,223.24,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3667,0.0115
2024-01-01 00:03:30,laptop_charger_01,0.36,223.75,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3667,0.0115
2024-01-01 00:03:32,laptop_charger_01,0.37,229.66,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.01
2024-01-01 00:03:34,laptop_charger_01,0.37,229.85,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3667,0.0058
2024-01-01 00:03:36,laptop_charger_01,0.37,229.18,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:38,laptop_charger_01,0.37,229.37,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:40,laptop_charger_01,0.37,229.6,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:42,laptop_charger_01,0.37,229.41,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:44,laptop_charger_01,0.37,229.18,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:46,laptop_charger_01,0.37,229.27,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:48,laptop_charger_01,0.37,229.39,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:50,laptop_charger_01,0.37,229.48,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:52,laptop_charger_01,0.37,229.29,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:54,laptop_charger_01,0.37,229.38,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:55,laptop_charger_01,0.37,229.53,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:57,laptop_charger_01,0.37,229.41,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:03:59,laptop_charger_01,0.37,229.63,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:01,laptop_charger_01,0.37,229.53,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:03,laptop_charger_01,0.37,229.9,0.93,0.08,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:05,laptop_charger_01,0.38,229.72,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3733,0.0058
2024-01-01 00:04:07,laptop_charger_01,0.38,230.08,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3767,0.0058
2024-01-01 00:04:09,laptop_charger_01,0.37,230.05,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3767,0.0058
2024-01-01 00:04:11,laptop_charger_01,0.37,229.64,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3733,0.0058
2024-01-01 00:04:13,laptop_charger_01,0.37,230.3,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:15,laptop_charger_01,0.37,230.21,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:17,laptop_charger_01,0.37,230.06,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:19,laptop_charger_01,0.37,229.96,0.93,0.079,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:21,laptop_charger_01,0.37,229.85,0.93,0.078,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:23,laptop_charger_01,0.37,229.88,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:24,laptop_charger_01,0.37,230.15,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.37,0.0
2024-01-01 00:04:26,laptop_charger_01,0.36,229.97,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3667,0.0058
2024-01-01 00:04:28,laptop_charger_01,0.37,229.77,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3667,0.0058
2024-01-01 00:04:30,laptop_charger_01,0.36,230.13,0.93,0.075,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3633,0.0058
2024-01-01 00:04:32,laptop_charger_01,0.34,229.91,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0153
2024-01-01 00:04:34,laptop_charger_01,0.36,230.34,0.93,0.076,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3533,0.0115
2024-01-01 00:04:36,laptop_charger_01,0.36,229.89,0.93,0.075,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3533,0.0115
2024-01-01 00:04:38,laptop_charger_01,0.36,230.23,0.93,0.076,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:04:40,laptop_charger_01,0.36,229.93,0.93,0.077,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:04:42,laptop_charger_01,0.36,229.72,0.93,0.075,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:04:44,laptop_charger_01,0.36,230.29,0.93,0.075,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:04:46,laptop_charger_01,0.36,229.84,0.93,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.36,0.0
2024-01-01 00:04:48,laptop_charger_01,0.35,230.46,0.93,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3567,0.0058
2024-01-01 00:04:50,laptop_charger_01,0.35,230.08,0.93,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3533,0.0058
2024-01-01 00:04:52,laptop_charger_01,0.35,230.15,0.92,0.074,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.35,0.0
2024-01-01 00:04:53,laptop_charger_01,0.35,230.34,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.35,0.0
2024-01-01 00:04:55,laptop_charger_01,0.34,230.3,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3467,0.0058
2024-01-01 00:04:57,laptop_charger_01,0.35,230.35,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3467,0.0058
2024-01-01 00:04:59,laptop_charger_01,0.35,230.66,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3467,0.0058
2024-01-01 00:05:01,laptop_charger_01,0.35,230.36,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.35,0.0
2024-01-01 00:05:03,laptop_charger_01,0.35,230.47,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.35,0.0
2024-01-01 00:05:05,laptop_charger_01,0.35,230.38,0.92,0.073,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.35,0.0
2024-01-01 00:05:07,laptop_charger_01,0.34,230.46,0.92,0.072,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3467,0.0058
2024-01-01 00:05:09,laptop_charger_01,0.34,230.57,0.92,0.07,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3433,0.0058
2024-01-01 00:05:11,laptop_charger_01,0.34,230.41,0.92,0.071,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.34,0.0
2024-01-01 00:05:13,laptop_charger_01,0.33,230.52,0.92,0.07,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3367,0.0058
2024-01-01 00:05:15,laptop_charger_01,0.33,230.7,0.92,0.07,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3333,0.0058
2024-01-01 00:05:17,laptop_charger_01,0.34,230.11,0.92,0.07,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3333,0.0058
2024-01-01 00:05:19,laptop_charger_01,0.33,230.15,0.92,0.071,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3333,0.0058
2024-01-01 00:05:21,laptop_charger_01,0.33,230.23,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3333,0.0058
2024-01-01 00:05:22,laptop_charger_01,0.33,230.13,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:24,laptop_charger_01,0.33,230.61,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:26,laptop_charger_01,0.33,230.15,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:28,laptop_charger_01,0.33,230.67,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:30,laptop_charger_01,0.33,230.34,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:32,laptop_charger_01,0.33,230.32,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:34,laptop_charger_01,0.33,230.53,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:36,laptop_charger_01,0.33,230.28,0.92,0.068,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:38,laptop_charger_01,0.33,230.68,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:40,laptop_charger_01,0.33,230.52,0.92,0.067,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.33,0.0
2024-01-01 00:05:42,laptop_charger_01,0.32,230.05,0.92,0.067,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3267,0.0058
2024-01-01 00:05:44,laptop_charger_01,0.32,230.56,0.92,0.067,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3233,0.0058
2024-01-01 00:05:46,laptop_charger_01,0.32,230.85,0.92,0.065,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.32,0.0
2024-01-01 00:05:48,laptop_charger_01,0.33,230.86,0.92,0.067,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3233,0.0058
2024-01-01 00:05:50,laptop_charger_01,0.32,230.72,0.92,0.069,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.3233,0.0058
2024-01-01 00:05:52,laptop_charger_01,0.31,225.1,0.91,0.064,,ACTIVE,ESP32 NILM trace S4P10 laptop charger,0.32,0.01
